logic_type,rule_id,source_group,category,name,severity,technique,parent_process,child_process,behavior,logic_summary,raw_logic,source_file
chain_rule,chain-1,Execution,Execution,Word → cmd — macro execution,3,T1204.002,winword.exe,cmd.exe,,Exact parent->child process name match,Word → cmd — macro execution [T1204.002],src/detection-rules.js
chain_rule,chain-2,Execution,Execution,Word → PS — macro execution,3,T1059.001,winword.exe,powershell.exe,,Exact parent->child process name match,Word → PS — macro execution [T1059.001],src/detection-rules.js
chain_rule,chain-3,Execution,Execution,Word → WScript — VBS macro dropper,3,T1059.005,winword.exe,wscript.exe,,Exact parent->child process name match,Word → WScript — VBS macro dropper [T1059.005],src/detection-rules.js
chain_rule,chain-4,Execution,Execution,Word → CScript — VBS macro dropper,3,T1059.005,winword.exe,cscript.exe,,Exact parent->child process name match,Word → CScript — VBS macro dropper [T1059.005],src/detection-rules.js
chain_rule,chain-5,Execution,Execution,Word → msdt — Follina (CVE-2022-30190),3,T1203,winword.exe,msdt.exe,,Exact parent->child process name match,Word → msdt — Follina (CVE-2022-30190) [T1203],src/detection-rules.js
chain_rule,chain-6,Execution,Execution,Word → bash — unusual execution chain,3,T1059.004,winword.exe,bash.exe,,Exact parent->child process name match,Word → bash — unusual execution chain [T1059.004],src/detection-rules.js
chain_rule,chain-7,Execution,Execution,Excel → cmd — macro/DDE execution,3,T1204.002,excel.exe,cmd.exe,,Exact parent->child process name match,Excel → cmd — macro/DDE execution [T1204.002],src/detection-rules.js
chain_rule,chain-8,Execution,Execution,Excel → PS — macro execution,3,T1059.001,excel.exe,powershell.exe,,Exact parent->child process name match,Excel → PS — macro execution [T1059.001],src/detection-rules.js
chain_rule,chain-9,Execution,Execution,Excel → WScript — VBS dropper,3,T1059.005,excel.exe,wscript.exe,,Exact parent->child process name match,Excel → WScript — VBS dropper [T1059.005],src/detection-rules.js
chain_rule,chain-10,Execution,Execution,Excel → CScript — VBS dropper,3,T1059.005,excel.exe,cscript.exe,,Exact parent->child process name match,Excel → CScript — VBS dropper [T1059.005],src/detection-rules.js
chain_rule,chain-11,Execution,Execution,PPT → cmd — action/macro,3,T1204.002,powerpnt.exe,cmd.exe,,Exact parent->child process name match,PPT → cmd — action/macro [T1204.002],src/detection-rules.js
chain_rule,chain-12,Execution,Execution,PPT → PS — action/macro,3,T1059.001,powerpnt.exe,powershell.exe,,Exact parent->child process name match,PPT → PS — action/macro [T1059.001],src/detection-rules.js
chain_rule,chain-13,Execution,Execution,PPT → WScript — PPT spawning WScript,3,T1059.005,powerpnt.exe,wscript.exe,,Exact parent->child process name match,PPT → WScript — PPT spawning WScript [T1059.005],src/detection-rules.js
chain_rule,chain-14,Execution,Execution,Outlook → cmd — embedded object or preview,2,T1566.001,outlook.exe,cmd.exe,,Exact parent->child process name match,Outlook → cmd — embedded object or preview [T1566.001],src/detection-rules.js
chain_rule,chain-15,Execution,Execution,Outlook → PS — phishing execution,3,T1566.001,outlook.exe,powershell.exe,,Exact parent->child process name match,Outlook → PS — phishing execution [T1566.001],src/detection-rules.js
chain_rule,chain-16,Execution,Execution,Outlook → WScript — script attachment,2,T1566.001,outlook.exe,wscript.exe,,Exact parent->child process name match,Outlook → WScript — script attachment [T1566.001],src/detection-rules.js
chain_rule,chain-17,Execution,Execution,Outlook → CScript — script attachment,2,T1566.001,outlook.exe,cscript.exe,,Exact parent->child process name match,Outlook → CScript — script attachment [T1566.001],src/detection-rules.js
chain_rule,chain-18,Execution,Execution,Outlook → msdt — Follina variant,3,T1203,outlook.exe,msdt.exe,,Exact parent->child process name match,Outlook → msdt — Follina variant [T1203],src/detection-rules.js
chain_rule,chain-19,Execution,Execution,OneNote → cmd — embedded script/HTA,3,T1204.002,onenote.exe,cmd.exe,,Exact parent->child process name match,OneNote → cmd — embedded script/HTA [T1204.002],src/detection-rules.js
chain_rule,chain-20,Execution,Execution,OneNote → PS — embedded payload,3,T1059.001,onenote.exe,powershell.exe,,Exact parent->child process name match,OneNote → PS — embedded payload [T1059.001],src/detection-rules.js
chain_rule,chain-21,Execution,Execution,OneNote → WScript — embedded VBS,3,T1059.005,onenote.exe,wscript.exe,,Exact parent->child process name match,OneNote → WScript — embedded VBS [T1059.005],src/detection-rules.js
chain_rule,chain-22,Execution,Execution,OneNote → CScript — embedded VBS,3,T1059.005,onenote.exe,cscript.exe,,Exact parent->child process name match,OneNote → CScript — embedded VBS [T1059.005],src/detection-rules.js
chain_rule,chain-23,Execution,Execution,Access → cmd — macro execution,3,T1204.002,msaccess.exe,cmd.exe,,Exact parent->child process name match,Access → cmd — macro execution [T1204.002],src/detection-rules.js
chain_rule,chain-24,Execution,Execution,Access → PS — macro execution,3,T1059.001,msaccess.exe,powershell.exe,,Exact parent->child process name match,Access → PS — macro execution [T1059.001],src/detection-rules.js
chain_rule,chain-25,Execution,Execution,Publisher → cmd — macro execution,3,T1204.002,mspub.exe,cmd.exe,,Exact parent->child process name match,Publisher → cmd — macro execution [T1204.002],src/detection-rules.js
chain_rule,chain-26,Execution,Execution,Publisher → PS — macro execution,3,T1059.001,mspub.exe,powershell.exe,,Exact parent->child process name match,Publisher → PS — macro execution [T1059.001],src/detection-rules.js
chain_rule,chain-27,Execution,Execution,WScript → cmd — VBS/JS payload stage 2,2,T1059.005,wscript.exe,cmd.exe,,Exact parent->child process name match,WScript → cmd — VBS/JS payload stage 2 [T1059.005],src/detection-rules.js
chain_rule,chain-28,Execution,Execution,WScript → PS — VBS to PS stager,2,T1059.005,wscript.exe,powershell.exe,,Exact parent->child process name match,WScript → PS — VBS to PS stager [T1059.005],src/detection-rules.js
chain_rule,chain-29,Execution,Execution,WScript → CScript — engine switch,1,T1059.005,wscript.exe,cscript.exe,,Exact parent->child process name match,WScript → CScript — engine switch [T1059.005],src/detection-rules.js
chain_rule,chain-30,Execution,Execution,CScript → cmd — script payload,2,T1059.005,cscript.exe,cmd.exe,,Exact parent->child process name match,CScript → cmd — script payload [T1059.005],src/detection-rules.js
chain_rule,chain-31,Execution,Execution,CScript → PS — script stager,2,T1059.005,cscript.exe,powershell.exe,,Exact parent->child process name match,CScript → PS — script stager [T1059.005],src/detection-rules.js
chain_rule,chain-32,Execution,Execution,PS → PS — double-hop/AMSI bypass,1,T1059.001,powershell.exe,powershell.exe,,Exact parent->child process name match,PS → PS — double-hop/AMSI bypass [T1059.001],src/detection-rules.js
chain_rule,chain-33,Execution,Execution,"PS → cmd — may be benign, context-dependent",0,T1059.003,powershell.exe,cmd.exe,,Exact parent->child process name match,"PS → cmd — may be benign, context-dependent [T1059.003]",src/detection-rules.js
chain_rule,chain-34,Execution,Execution,PS → WScript — polyglot/evasion,1,T1059.005,powershell.exe,wscript.exe,,Exact parent->child process name match,PS → WScript — polyglot/evasion [T1059.005],src/detection-rules.js
chain_rule,chain-35,Execution,Execution,PS → CScript — PS → CScript exec,1,T1059.005,powershell.exe,cscript.exe,,Exact parent->child process name match,PS → CScript — PS → CScript exec [T1059.005],src/detection-rules.js
chain_rule,chain-36,Execution,Execution,PS → bash — cross-subsystem,1,T1059.004,powershell.exe,bash.exe,,Exact parent->child process name match,PS → bash — cross-subsystem [T1059.004],src/detection-rules.js
chain_rule,chain-37,Execution,Execution,cmd → PS — common in multi-stage payloads,1,T1059.001,cmd.exe,powershell.exe,,Exact parent->child process name match,cmd → PS — common in multi-stage payloads [T1059.001],src/detection-rules.js
chain_rule,chain-38,Execution,Execution,cmd → WScript — script execution,1,T1059.005,cmd.exe,wscript.exe,,Exact parent->child process name match,cmd → WScript — script execution [T1059.005],src/detection-rules.js
chain_rule,chain-39,Execution,Execution,cmd → CScript — script execution,1,T1059.005,cmd.exe,cscript.exe,,Exact parent->child process name match,cmd → CScript — script execution [T1059.005],src/detection-rules.js
chain_rule,chain-40,Execution,Execution,svchost → cmd — service abuse or lateral,2,T1569.002,svchost.exe,cmd.exe,,Exact parent->child process name match,svchost → cmd — service abuse or lateral [T1569.002],src/detection-rules.js
chain_rule,chain-41,Execution,Execution,svchost → PS — service-based execution,2,T1569.002,svchost.exe,powershell.exe,,Exact parent->child process name match,svchost → PS — service-based execution [T1569.002],src/detection-rules.js
chain_rule,chain-42,Execution,Execution,svchost → WScript — unusual service behavior,2,T1059.005,svchost.exe,wscript.exe,,Exact parent->child process name match,svchost → WScript — unusual service behavior [T1059.005],src/detection-rules.js
chain_rule,chain-43,Execution,Execution,svchost → CScript — svchost → CScript exec,2,T1059.005,svchost.exe,cscript.exe,,Exact parent->child process name match,svchost → CScript — svchost → CScript exec [T1059.005],src/detection-rules.js
chain_rule,chain-44,Execution,Execution,WMIPrvSE → cmd — WMI lateral movement,2,T1047,wmiprvse.exe,cmd.exe,,Exact parent->child process name match,WMIPrvSE → cmd — WMI lateral movement [T1047],src/detection-rules.js
chain_rule,chain-45,Execution,Execution,WMIPrvSE → PS — WMI execution,2,T1047,wmiprvse.exe,powershell.exe,,Exact parent->child process name match,WMIPrvSE → PS — WMI execution [T1047],src/detection-rules.js
chain_rule,chain-46,Execution,Execution,SearchProto → cmd — exploit,2,T1203,searchprotocolhost.exe,cmd.exe,,Exact parent->child process name match,SearchProto → cmd — exploit [T1203],src/detection-rules.js
chain_rule,chain-47,Execution,Execution,SearchIdx → cmd — exploit,2,T1203,searchindexer.exe,cmd.exe,,Exact parent->child process name match,SearchIdx → cmd — exploit [T1203],src/detection-rules.js
chain_rule,chain-48,Execution,Execution,CSRSS → cmd — kernel-mode process injection,3,T1055,csrss.exe,cmd.exe,,Exact parent->child process name match,CSRSS → cmd — kernel-mode process injection [T1055],src/detection-rules.js
chain_rule,chain-49,Execution,Execution,CSRSS → PS — critical anomaly,3,T1055,csrss.exe,powershell.exe,,Exact parent->child process name match,CSRSS → PS — critical anomaly [T1055],src/detection-rules.js
chain_rule,chain-50,Execution,Execution,SMSS → cmd — critical: bootkit/rootkit,3,T1055,smss.exe,cmd.exe,,Exact parent->child process name match,SMSS → cmd — critical: bootkit/rootkit [T1055],src/detection-rules.js
chain_rule,chain-51,Execution,Execution,SMSS → PS — critical anomaly,3,T1055,smss.exe,powershell.exe,,Exact parent->child process name match,SMSS → PS — critical anomaly [T1055],src/detection-rules.js
chain_rule,chain-52,Execution,Execution,winlogon → cmd — Sticky Keys/a11y backdoor,2,T1055,winlogon.exe,cmd.exe,,Exact parent->child process name match,winlogon → cmd — Sticky Keys/a11y backdoor [T1055],src/detection-rules.js
chain_rule,chain-53,Execution,Execution,winlogon → PS — exploitation,2,T1055,winlogon.exe,powershell.exe,,Exact parent->child process name match,winlogon → PS — exploitation [T1055],src/detection-rules.js
chain_rule,chain-54,Execution,Execution,spoolsv → cmd — PrintNightmare,3,T1203,spoolsv.exe,cmd.exe,,Exact parent->child process name match,spoolsv → cmd — PrintNightmare [T1203],src/detection-rules.js
chain_rule,chain-55,Execution,Execution,spoolsv → PS — PrintNightmare,3,T1203,spoolsv.exe,powershell.exe,,Exact parent->child process name match,spoolsv → PS — PrintNightmare [T1203],src/detection-rules.js
chain_rule,chain-56,Execution,Execution,spoolsv → net — PrintNightmare add user,2,T1203,spoolsv.exe,net.exe,,Exact parent->child process name match,spoolsv → net — PrintNightmare add user [T1203],src/detection-rules.js
chain_rule,chain-57,Execution,Execution,dllhost → cmd — COM object hijack execution,2,T1546.015,dllhost.exe,cmd.exe,,Exact parent->child process name match,dllhost → cmd — COM object hijack execution [T1546.015],src/detection-rules.js
chain_rule,chain-58,Execution,Execution,dllhost → PS — COM hijack,2,T1546.015,dllhost.exe,powershell.exe,,Exact parent->child process name match,dllhost → PS — COM hijack [T1546.015],src/detection-rules.js
chain_rule,chain-59,Execution,Execution,services → cmd — malicious service installed,2,T1543.003,services.exe,cmd.exe,,Exact parent->child process name match,services → cmd — malicious service installed [T1543.003],src/detection-rules.js
chain_rule,chain-60,Execution,Execution,services → PS — malicious service,2,T1543.003,services.exe,powershell.exe,,Exact parent->child process name match,services → PS — malicious service [T1543.003],src/detection-rules.js
chain_rule,chain-61,Execution,Execution,Chrome → cmd — browser exploit,2,T1189,chrome.exe,cmd.exe,,Exact parent->child process name match,Chrome → cmd — browser exploit [T1189],src/detection-rules.js
chain_rule,chain-62,Execution,Execution,Chrome → PS — browser exploit,3,T1189,chrome.exe,powershell.exe,,Exact parent->child process name match,Chrome → PS — browser exploit [T1189],src/detection-rules.js
chain_rule,chain-63,Execution,Execution,Edge → cmd — browser exploit,2,T1189,msedge.exe,cmd.exe,,Exact parent->child process name match,Edge → cmd — browser exploit [T1189],src/detection-rules.js
chain_rule,chain-64,Execution,Execution,Edge → PS — browser exploit,3,T1189,msedge.exe,powershell.exe,,Exact parent->child process name match,Edge → PS — browser exploit [T1189],src/detection-rules.js
